LOC,CBO,RFC,WMC,defect
165.0,18,81.0,56.0,0
77.0,5,12.0,12.0,1
38.0,7,17.0,10.0,1
383.0,15,122.0,93.0,0
142.0,6,23.0,39.0,0
124.0,62,47.0,32.0,0
233.0,4,32.0,24.0,0
661.0,25,319.0,196.0,0
98.0,7,57.0,26.0,0
64.0,3,20.0,18.0,0
144.0,17,54.0,38.0,1
107.0,6,53.0,27.0,0
12.0,1,5.0,4.0,0
242.0,22,89.0,51.0,0
132.0,23,56.0,38.0,0
186.0,10,44.0,32.0,0
89.0,9,54.0,26.0,0
145.0,2,68.0,43.0,0
155.0,12,60.0,40.0,0
9.0,1,3.0,3.0,0
55.0,1,27.0,18.0,0
513.0,61,143.0,120.0,1
9.0,1,6.0,4.0,0
222.0,20,78.0,55.0,1
198.0,21,59.0,69.0,1
26.0,5,11.0,7.0,0
4.0,1,1.0,1.0,0
62.0,11,35.0,16.0,0
156.0,12,61.0,31.0,0
3449.0,9,374.0,1169.0,0
97.0,16,32.0,30.0,0
1531.0,102,572.0,419.0,1
364.0,26,127.0,104.0,1
72.0,12,37.0,19.0,0
258.0,11,65.0,50.0,0
9.0,3,5.0,3.0,0
27.0,6,13.0,7.0,0
30.0,3,10.0,8.0,0
17.0,4,7.0,4.0,0
2557.0,39,917.0,659.0,1
266.0,6,64.0,47.0,0
22.0,5,6.0,5.0,0
12.0,4,5.0,2.0,0
30.0,5,10.0,9.0,0
235.0,43,118.0,79.0,1
251.0,39,64.0,74.0,1
24.0,3,8.0,6.0,0
12.0,2,7.0,4.0,0
10.0,2,4.0,2.0,0
13.0,3,4.0,4.0,0
35.0,8,15.0,12.0,0
13.0,1,4.0,4.0,1
551.0,19,226.0,140.0,1
768.0,18,169.0,207.0,0
29.0,5,18.0,8.0,0
14.0,4,5.0,5.0,0
28.0,12,12.0,8.0,0
698.0,48,367.0,177.0,1
3.0,1,1.0,1.0,0
21.0,3,5.0,5.0,0
612.0,0,204.0,204.0,1
78.0,8,29.0,21.0,0
407.0,24,125.0,73.0,1
379.0,28,92.0,108.0,1
36.0,4,20.0,9.0,0
120.0,12,49.0,26.0,0
72.0,9,28.0,16.0,0
238.0,7,62.0,86.0,0
305.0,23,135.0,86.0,0
80.0,4,11.0,27.0,0
23.0,2,5.0,5.0,0
110.0,12,37.0,30.0,0
92.0,9,61.0,29.0,0
117.0,6,61.0,29.0,0
2262.0,13,368.0,449.0,0
657.0,150,209.0,206.0,0
48.0,2,11.0,12.0,1
192.0,11,69.0,45.0,0
220.0,7,85.0,57.0,1
47.0,4,11.0,17.0,0
40.0,13,8.0,4.0,0
712.0,39,211.0,148.0,1
23.0,3,16.0,7.0,0
121.0,6,51.0,50.0,0
24.0,2,4.0,2.0,0
27.0,2,8.0,8.0,0
787.0,32,277.0,253.0,1
327.0,38,177.0,92.0,0
8.0,8,2.0,4.0,0
13.0,2,5.0,3.0,0
48.0,4,25.0,12.0,0
88.0,4,17.0,32.0,0
276.0,16,79.0,49.0,0
7.0,2,2.0,1.0,1
127.0,25,31.0,45.0,0
48.0,23,23.0,13.0,0
178.0,24,82.0,34.0,0
4.0,2,2.0,1.0,0
426.0,41,170.0,89.0,1
12.0,1,5.0,4.0,0
47.0,17,13.0,13.0,0
59.0,6,26.0,15.0,0
230.0,10,87.0,56.0,0
35.0,7,14.0,6.0,1
59.0,2,33.0,16.0,0
68.0,11,38.0,15.0,0
10.0,2,3.0,3.0,0
495.0,13,130.0,129.0,1
44.0,8,20.0,14.0,0
546.0,87,157.0,169.0,1
1069.0,84,312.0,321.0,1
74.0,17,38.0,19.0,0
141.0,4,65.0,35.0,0
177.0,25,41.0,49.0,0
528.0,51,244.0,141.0,0
516.0,31,278.0,125.0,1
127.0,7,63.0,33.0,0
46.0,4,15.0,12.0,0
102.0,16,61.0,26.0,0
65.0,8,25.0,24.0,0
136.0,14,54.0,45.0,1
121.0,14,59.0,32.0,0
70.0,6,40.0,19.0,0
344.0,23,120.0,100.0,0
72.0,5,39.0,19.0,0
112.0,13,50.0,36.0,0
190.0,24,70.0,61.0,0
177.0,4,26.0,41.0,1
66.0,10,32.0,20.0,0
328.0,15,195.0,85.0,0
117.0,8,24.0,30.0,0
0.0,0,2.0,0.0,0
4390.0,78,1156.0,1148.0,1
65.0,4,21.0,27.0,1
59.0,7,31.0,16.0,0
39.0,5,14.0,13.0,0
17.0,3,9.0,5.0,0
482.0,21,194.0,125.0,0
57.0,9,30.0,20.0,0
7.0,0,2.0,2.0,0
255.0,9,77.0,39.0,0
109.0,4,55.0,28.0,0
7.0,1,3.0,2.0,0
42.0,2,21.0,11.0,0
57.0,13,31.0,16.0,0
131.0,6,37.0,29.0,0
3.0,1,1.0,1.0,0
22.0,12,13.0,6.0,0
136.0,6,66.0,51.0,0
91.0,7,38.0,25.0,0
94.0,4,18.0,24.0,0
80.0,14,11.0,24.0,0
104.0,14,65.0,21.0,0
51.0,3,13.0,12.0,0
27.0,5,12.0,7.0,0
681.0,14,237.0,223.0,0
71.0,6,37.0,19.0,0
0.0,3,10.0,0.0,0
7.0,1,2.0,2.0,1
109.0,4,51.0,27.0,0
13.0,1,7.0,3.0,0
103.0,9,36.0,30.0,0
554.0,47,273.0,134.0,1
19.0,3,8.0,6.0,0
357.0,33,94.0,118.0,1
87.0,7,34.0,25.0,1
40.0,6,23.0,15.0,0
474.0,22,273.0,133.0,0
32.0,6,17.0,9.0,0
6113.0,50,1095.0,1042.0,1
469.0,18,159.0,108.0,1
72.0,6,29.0,19.0,0
841.0,36,294.0,225.0,1
26.0,4,12.0,13.0,0
191.0,5,30.0,53.0,0
24.0,6,10.0,8.0,0
42.0,0,14.0,14.0,0
3.0,6,1.0,1.0,0
51.0,5,15.0,15.0,0
3449.0,47,374.0,1169.0,1
81.0,12,32.0,23.0,0
155.0,11,75.0,40.0,0
7.0,2,2.0,1.0,1
845.0,141,91.0,262.0,0
136.0,6,32.0,39.0,0
707.0,16,221.0,191.0,0
536.0,40,128.0,174.0,1
28.0,2,12.0,8.0,0
20.0,4,11.0,6.0,0
69.0,5,30.0,35.0,1
66.0,51,60.0,20.0,0
47.0,15,29.0,13.0,0
121.0,6,60.0,31.0,0
145.0,12,62.0,43.0,1
71.0,8,34.0,20.0,0
87.0,9,45.0,23.0,0
11.0,1,3.0,3.0,1
16.0,10,10.0,5.0,1
63.0,12,25.0,15.0,0
1585.0,13,1156.0,265.0,1
72.0,5,39.0,19.0,0
6.0,3,2.0,2.0,1
32.0,5,13.0,8.0,0
75.0,6,30.0,24.0,0
10.0,1,5.0,4.0,0
37.0,3,14.0,12.0,0
0.0,1,1.0,0.0,0
31.0,4,10.0,7.0,0
125.0,9,63.0,35.0,0
10.0,3,5.0,3.0,0
9.0,1,3.0,3.0,0
23.0,4,11.0,8.0,0
31.0,6,16.0,9.0,0
208.0,8,104.0,54.0,0
3.0,1,1.0,1.0,0
17.0,5,8.0,4.0,0
144.0,43,72.0,48.0,0
9.0,3,4.0,4.0,0
31.0,3,7.0,10.0,0
130.0,13,66.0,36.0,0
96.0,13,46.0,34.0,0
9.0,2,3.0,3.0,0
25.0,7,13.0,5.0,0
9.0,8,2.0,2.0,0
580.0,27,157.0,209.0,1
230.0,12,45.0,59.0,1
27.0,0,10.0,9.0,0
1947.0,55,680.0,470.0,1
414.0,22,153.0,117.0,1
34.0,2,3.0,12.0,0
289.0,14,111.0,79.0,1
103.0,24,27.0,36.0,0
146.0,10,61.0,33.0,0
404.0,13,162.0,104.0,0
24.0,4,16.0,5.0,0
708.0,24,172.0,269.0,1
952.0,22,361.0,271.0,1
12.0,2,5.0,4.0,0
59.0,4,35.0,16.0,0
4.0,1,1.0,1.0,1
52.0,38,30.0,12.0,0
56.0,4,13.0,19.0,0
3.0,1,1.0,1.0,0
83.0,8,48.0,21.0,0
285.0,12,66.0,64.0,0
158.0,9,70.0,37.0,0
44.0,7,25.0,13.0,0
529.0,32,241.0,118.0,1
28.0,1,13.0,10.0,0
109.0,8,60.0,28.0,0
18.0,0,6.0,6.0,0
28.0,6,12.0,9.0,0
52.0,4,19.0,19.0,0
17.0,10,13.0,4.0,0
44.0,5,26.0,14.0,0
69.0,4,21.0,13.0,0
56.0,10,30.0,16.0,1
82.0,5,22.0,22.0,0
104.0,7,25.0,7.0,0
231.0,13,110.0,51.0,0
232.0,16,90.0,71.0,0
164.0,4,31.0,58.0,0
3.0,0,1.0,1.0,0
706.0,24,322.0,215.0,1
17.0,2,8.0,4.0,0
171.0,29,83.0,50.0,0
16.0,3,10.0,5.0,0
77.0,6,32.0,24.0,0
154.0,6,61.0,44.0,0
20.0,4,13.0,5.0,0
36.0,4,14.0,12.0,0
88.0,4,17.0,32.0,0
209.0,21,57.0,51.0,0
462.0,29,215.0,162.0,1
27.0,10,19.0,7.0,0
216.0,16,57.0,52.0,0
50.0,4,17.0,16.0,0
155.0,16,61.0,43.0,0
276.0,6,126.0,84.0,0
73.0,4,25.0,3.0,0
156.0,4,33.0,43.0,0
76.0,12,27.0,17.0,0
17.0,2,8.0,6.0,0
290.0,14,85.0,86.0,0
437.0,33,145.0,118.0,1
87.0,14,58.0,19.0,0
128.0,7,31.0,24.0,1
36.0,4,13.0,15.0,1
136.0,8,63.0,41.0,0
99.0,7,36.0,35.0,0
334.0,21,99.0,79.0,1
16.0,2,10.0,7.0,1
105.0,26,35.0,35.0,0
325.0,4,52.0,89.0,0
0.0,1,1.0,0.0,0
29.0,1,11.0,7.0,0
101.0,9,42.0,32.0,0
35.0,4,14.0,17.0,0
33.0,5,11.0,16.0,0
773.0,128,197.0,273.0,1
23.0,4,10.0,7.0,0
163.0,18,63.0,32.0,1
54.0,2,20.0,16.0,1
0.0,2,1.0,0.0,0
11.0,2,7.0,4.0,0
82.0,7,46.0,18.0,0
29.0,6,16.0,10.0,0
184.0,13,73.0,49.0,1
39.0,7,19.0,12.0,0
368.0,9,114.0,85.0,0
61.0,13,32.0,13.0,0
49.0,4,21.0,14.0,0
62.0,3,14.0,8.0,0
14.0,2,4.0,3.0,0
34.0,5,16.0,11.0,0
200.0,23,85.0,50.0,0
24.0,2,11.0,7.0,0
103.0,7,27.0,36.0,0
907.0,34,547.0,218.0,1
217.0,17,81.0,74.0,1
3.0,2,1.0,1.0,0
21.0,3,5.0,5.0,0
271.0,19,116.0,79.0,0
88.0,10,47.0,22.0,0
50.0,5,18.0,12.0,0
23.0,6,11.0,10.0,0
691.0,29,244.0,181.0,0
115.0,8,24.0,34.0,1
122.0,17,26.0,33.0,0
296.0,16,115.0,91.0,1
332.0,19,76.0,43.0,0
75.0,9,29.0,17.0,0
44.0,8,28.0,13.0,0
480.0,42,258.0,121.0,0
127.0,3,24.0,20.0,0
50.0,7,28.0,14.0,0
1340.0,46,567.0,396.0,1
50.0,6,28.0,12.0,0
40.0,1,14.0,12.0,1
251.0,21,82.0,55.0,1
3.0,1,2.0,1.0,0
29.0,2,11.0,4.0,0
28.0,4,16.0,9.0,0
13.0,1,5.0,4.0,0
62.0,8,21.0,12.0,0
1200.0,25,308.0,138.0,0
15.0,2,7.0,4.0,0
55.0,2,26.0,18.0,0
1520.0,5,63.0,73.0,0
6.0,1,3.0,2.0,0
7.0,5,3.0,2.0,0
110.0,6,59.0,27.0,0
525.0,40,252.0,99.0,1
66.0,9,29.0,17.0,0
269.0,15,89.0,66.0,1
1399.0,13,329.0,426.0,1
23.0,3,8.0,6.0,0
134.0,23,52.0,53.0,1
192.0,17,86.0,51.0,1
52.0,2,28.0,14.0,0
629.0,18,263.0,159.0,1
28.0,7,14.0,10.0,0
35.0,29,15.0,11.0,0
152.0,15,67.0,19.0,0
52.0,12,21.0,15.0,0
1607.0,94,664.0,344.0,1
139.0,13,47.0,36.0,1
343.0,22,107.0,117.0,1
286.0,15,120.0,89.0,0
107.0,5,53.0,27.0,0
14.0,3,12.0,4.0,0
64.0,12,38.0,17.0,0
275.0,6,83.0,62.0,0
57.0,5,16.0,27.0,1
15.0,4,7.0,4.0,0
26.0,3,8.0,13.0,0
76.0,4,39.0,23.0,0
269.0,12,106.0,54.0,0
117.0,3,24.0,30.0,0
49.0,5,17.0,15.0,0
1189.0,49,265.0,229.0,1
21.0,8,12.0,7.0,0
56.0,3,17.0,20.0,0
11.0,2,4.0,3.0,0
58.0,10,28.0,15.0,1
336.0,15,132.0,75.0,0
28.0,5,12.0,7.0,0
3.0,1,2.0,1.0,0
23.0,2,16.0,8.0,1
172.0,17,43.0,54.0,0
35.0,4,17.0,13.0,0
126.0,15,56.0,22.0,0
16.0,4,7.0,6.0,1
174.0,12,74.0,53.0,0
163.0,10,17.0,55.0,0
80.0,7,43.0,21.0,0
22.0,3,6.0,5.0,0
52.0,8,34.0,19.0,0
804.0,108,347.0,182.0,0
321.0,11,66.0,86.0,0
10.0,2,3.0,2.0,0
118.0,6,31.0,33.0,0
128.0,6,20.0,47.0,0
79.0,4,17.0,26.0,0
72.0,10,37.0,18.0,0
97.0,5,42.0,20.0,0
35.0,11,10.0,10.0,0
8.0,1,2.0,2.0,0
29.0,2,15.0,8.0,0
63.0,5,30.0,29.0,1
41.0,2,10.0,13.0,0
29.0,5,14.0,8.0,0
54.0,15,37.0,14.0,0
117.0,4,34.0,18.0,0
5.0,1,1.0,1.0,0
19.0,7,7.0,7.0,0
144.0,12,37.0,41.0,0
0.0,1,1.0,0.0,0
106.0,4,51.0,27.0,0
157.0,10,57.0,33.0,0
169.0,1,45.0,44.0,0
190.0,24,100.0,63.0,1
23.0,3,8.0,6.0,0
37.0,8,20.0,9.0,0
59.0,10,31.0,16.0,0
13.0,3,12.0,4.0,0
60.0,10,27.0,23.0,0
15.0,5,9.0,4.0,0
26.0,3,10.0,8.0,0
189.0,12,81.0,66.0,0
55.0,3,21.0,12.0,0
312.0,7,18.0,75.0,0
42.0,12,18.0,13.0,1
126.0,20,83.0,27.0,1
22.0,5,6.0,5.0,0
143.0,3,39.0,37.0,0
219.0,19,109.0,69.0,1
27.0,5,6.0,5.0,0
18.0,91,10.0,6.0,0
106.0,6,53.0,27.0,0
99.0,9,44.0,25.0,0
89.0,8,43.0,22.0,0
21.0,6,14.0,6.0,0
28.0,1,8.0,7.0,0
185.0,22,86.0,47.0,0
7341.0,75,2390.0,1680.0,1
784.0,26,256.0,134.0,1
412.0,13,81.0,105.0,0
108.0,18,49.0,26.0,0
36.0,5,12.0,8.0,0
840.0,102,290.0,308.0,1
158.0,5,74.0,42.0,0
56.0,2,26.0,18.0,0
71.0,3,11.0,22.0,0
12.0,5,7.0,3.0,0
1248.0,18,405.0,316.0,1
25.0,4,7.0,6.0,0
92.0,11,34.0,20.0,0
67.0,4,41.0,18.0,0
31.0,4,19.0,9.0,0
43.0,2,11.0,14.0,0
128.0,14,54.0,33.0,0
10.0,2,5.0,3.0,1
41.0,4,17.0,10.0,0
15.0,0,7.0,5.0,0
354.0,16,163.0,112.0,0
68.0,11,41.0,18.0,0
337.0,19,119.0,100.0,1
299.0,11,51.0,78.0,0
15.0,2,5.0,5.0,0
423.0,6,241.0,117.0,0
96.0,9,43.0,28.0,0
0.0,6,5.0,0.0,0
123.0,13,53.0,40.0,0
639.0,39,248.0,171.0,1
32.0,1,13.0,9.0,0
27.0,5,14.0,8.0,0
78.0,9,21.0,25.0,0
53.0,6,30.0,14.0,0
105.0,20,55.0,37.0,0
226.0,10,87.0,53.0,0
15.0,4,8.0,4.0,0
15.0,2,13.0,5.0,0
80.0,14,29.0,15.0,0
124.0,21,78.0,38.0,0
158.0,13,70.0,25.0,0
28.0,3,13.0,10.0,0
62.0,7,33.0,16.0,0
63.0,22,30.0,19.0,0
127.0,8,31.0,34.0,1
253.0,14,73.0,58.0,0
261.0,5,56.0,69.0,0
95.0,19,48.0,34.0,0
57.0,13,31.0,14.0,0
3.0,5,1.0,1.0,0
485.0,16,169.0,131.0,0
106.0,7,53.0,27.0,0
106.0,5,51.0,27.0,0
38.0,4,14.0,12.0,0
186.0,20,100.0,49.0,0
974.0,33,287.0,392.0,1
36.0,4,18.0,7.0,0
136.0,37,34.0,52.0,0
146.0,6,34.0,46.0,1
781.0,33,346.0,197.0,0
136.0,11,69.0,37.0,0
26.0,4,11.0,6.0,0
152.0,15,76.0,56.0,0
1119.0,34,493.0,283.0,1
866.0,35,296.0,256.0,1
26.0,5,16.0,6.0,0
56.0,8,23.0,13.0,0
99.0,8,34.0,29.0,0
31.0,1,4.0,5.0,0
21.0,7,28.0,3.0,0
306.0,4,222.0,56.0,1
142.0,19,85.0,36.0,0
121.0,7,72.0,35.0,0
132.0,4,62.0,33.0,0
31.0,2,18.0,9.0,0
505.0,102,225.0,132.0,1
149.0,10,78.0,33.0,0
41.0,5,24.0,14.0,0
45.0,4,27.0,13.0,0
7.0,3,3.0,2.0,0
21.0,1,8.0,4.0,0
6.0,0,2.0,2.0,0
6.0,1,4.0,2.0,0
314.0,48,111.0,95.0,0
6.0,7,3.0,2.0,1
77.0,14,45.0,22.0,0
56.0,2,26.0,18.0,0
25.0,4,17.0,6.0,0
356.0,14,181.0,107.0,0
200.0,12,88.0,39.0,0
38.0,7,25.0,6.0,0
37.0,4,11.0,10.0,1
6.0,0,3.0,2.0,0
145.0,2,45.0,41.0,0
154.0,8,46.0,58.0,1
402.0,26,178.0,124.0,0
431.0,25,139.0,138.0,1
149.0,18,77.0,29.0,1
2116.0,44,794.0,468.0,1
303.0,10,151.0,82.0,0
329.0,16,108.0,63.0,1
156.0,10,73.0,40.0,0
28.0,2,12.0,7.0,0
311.0,4,15.0,45.0,0
115.0,17,22.0,37.0,1
23.0,3,9.0,6.0,0
66.0,0,22.0,22.0,0
648.0,31,138.0,155.0,1
57.0,4,25.0,16.0,0
170.0,9,88.0,43.0,0
246.0,14,53.0,55.0,0
37.0,5,13.0,10.0,0
44.0,4,19.0,13.0,0
44.0,5,19.0,11.0,0
95.0,7,29.0,22.0,0
49.0,5,24.0,17.0,1
4.0,2,1.0,1.0,0
27.0,5,17.0,6.0,0
142.0,3,59.0,38.0,1
233.0,8,60.0,44.0,0
34.0,7,13.0,9.0,0
92.0,9,39.0,25.0,0
27.0,4,8.0,8.0,0
94.0,2,23.0,36.0,0
3.0,1,1.0,1.0,1
409.0,13,74.0,102.0,0
180.0,8,56.0,64.0,1
195.0,14,77.0,29.0,0
54.0,8,14.0,7.0,1
221.0,20,89.0,77.0,0
333.0,25,101.0,117.0,1
12.0,1,2.0,4.0,0
3.0,1,2.0,1.0,0
12.0,0,3.0,3.0,0
32.0,3,16.0,8.0,0
316.0,24,105.0,67.0,0
128.0,8,78.0,41.0,0
10.0,3,5.0,3.0,0
59.0,12,27.0,17.0,0
78.0,2,39.0,20.0,0
3.0,2,1.0,1.0,0
153.0,9,25.0,33.0,1
111.0,11,38.0,34.0,0
11.0,7,9.0,3.0,0
1117.0,20,294.0,276.0,0
32.0,3,13.0,9.0,0
101.0,9,40.0,25.0,1
22.0,3,6.0,5.0,0
40.0,4,14.0,13.0,0
468.0,13,81.0,139.0,0
10.0,3,5.0,1.0,0
79.0,2,20.0,30.0,0
3.0,2,1.0,1.0,0
59.0,6,24.0,15.0,0
799.0,15,289.0,179.0,0
30.0,2,13.0,9.0,0
222.0,11,71.0,87.0,1
158.0,7,34.0,34.0,0
10.0,3,5.0,1.0,0
0.0,2,1.0,0.0,0
311.0,16,118.0,83.0,1
118.0,8,63.0,30.0,0
3.0,1,1.0,1.0,0
63.0,3,24.0,19.0,0
96.0,4,48.0,25.0,0
24.0,4,13.0,7.0,0
7.0,2,3.0,2.0,0
108.0,7,59.0,27.0,0
15.0,8,19.0,5.0,0
22.0,3,9.0,4.0,0
16.0,2,6.0,5.0,0
85.0,4,16.0,16.0,0
232.0,12,85.0,40.0,0
2140.0,4,281.0,480.0,1
51.0,6,18.0,11.0,1
6.0,0,2.0,2.0,0
51.0,4,20.0,14.0,0
48.0,26,17.0,10.0,0
99.0,35,38.0,21.0,0
121.0,9,61.0,31.0,0
23.0,3,11.0,9.0,0
30.0,4,15.0,11.0,0
282.0,29,106.0,60.0,0
78.0,5,24.0,23.0,0
38.0,2,14.0,11.0,0
15.0,4,6.0,5.0,0
12.0,3,6.0,4.0,0
445.0,13,142.0,141.0,0
38.0,7,22.0,8.0,0
38.0,4,16.0,14.0,0
28.0,4,11.0,8.0,0
547.0,20,197.0,168.0,1
141.0,13,66.0,31.0,0
186.0,7,36.0,56.0,0
128.0,11,59.0,20.0,0
193.0,17,54.0,56.0,0
142.0,13,65.0,49.0,0
392.0,13,133.0,112.0,0
1058.0,58,413.0,217.0,1
1081.0,13,352.0,258.0,1
17.0,2,10.0,5.0,0
67.0,15,15.0,14.0,0
63.0,4,32.0,17.0,0
123.0,6,26.0,34.0,0
81.0,14,59.0,23.0,1
193.0,9,34.0,53.0,1
638.0,16,220.0,113.0,1
189.0,18,78.0,60.0,0
1500.0,47,2062.0,898.0,0
137.0,6,72.0,38.0,0
33.0,4,9.0,7.0,0
356.0,30,179.0,103.0,0
38.0,7,22.0,10.0,0
35.0,5,16.0,15.0,0
644.0,46,285.0,172.0,1
127.0,12,77.0,27.0,0
7.0,2,3.0,2.0,0
110.0,6,25.0,35.0,0
0.0,0,0.0,0.0,1
560.0,20,246.0,142.0,1
144.0,9,49.0,20.0,0
123.0,7,60.0,31.0,0
155.0,10,77.0,37.0,1
140.0,17,55.0,31.0,0
3.0,0,1.0,1.0,0
240.0,19,109.0,48.0,0
23.0,5,25.0,7.0,0
44.0,11,27.0,12.0,0
50.0,6,18.0,12.0,0
48.0,7,31.0,15.0,0
747.0,13,249.0,291.0,1
42.0,2,2.0,10.0,0
64.0,10,39.0,18.0,1
370.0,12,110.0,75.0,0
109.0,5,56.0,28.0,0
12.0,2,7.0,4.0,0
141.0,20,78.0,33.0,0
1782.0,17,498.0,418.0,0
18.0,6,13.0,6.0,0
26.0,4,12.0,7.0,0
41.0,8,29.0,8.0,0
18.0,6,6.0,6.0,0
155.0,5,59.0,52.0,0
533.0,15,143.0,150.0,1
142.0,8,44.0,38.0,0
13.0,2,8.0,4.0,1
141.0,7,70.0,35.0,0
105.0,1,40.0,27.0,0
2877.0,144,836.0,972.0,1
3.0,1,3.0,1.0,0
4.0,2,2.0,1.0,0
15.0,2,6.0,4.0,0
57.0,7,17.0,8.0,0
39.0,3,16.0,10.0,0
6571.0,156,2603.0,1033.0,1
23.0,1,12.0,7.0,0
1091.0,34,362.0,310.0,1
12.0,3,8.0,3.0,0
39.0,2,13.0,9.0,0
222.0,9,47.0,74.0,0
3184.0,27,752.0,764.0,1
18.0,8,6.0,6.0,0
10.0,3,5.0,3.0,0
30.0,7,20.0,8.0,0
3.0,4,1.0,1.0,0
184.0,16,36.0,39.0,0
38.0,4,15.0,10.0,0
94.0,2,24.0,36.0,0
149.0,20,54.0,37.0,0
235.0,8,82.0,67.0,0
986.0,24,334.0,331.0,1
72.0,3,32.0,17.0,0
43.0,5,15.0,7.0,0
43.0,12,25.0,11.0,0
6017.0,86,1603.0,1542.0,1
166.0,6,76.0,41.0,1
231.0,14,74.0,53.0,0
395.0,15,170.0,92.0,1
270.0,6,32.0,61.0,0
3.0,1,1.0,1.0,0
24.0,4,10.0,9.0,0
63.0,12,23.0,11.0,0
26.0,1,12.0,6.0,0
129.0,13,36.0,43.0,0
67.0,4,25.0,16.0,0
12.0,2,4.0,3.0,0
60.0,2,16.0,22.0,0
44.0,2,10.0,14.0,0
128.0,15,46.0,43.0,0
21.0,3,5.0,5.0,0
11.0,6,5.0,3.0,0
75.0,6,29.0,20.0,0
25.0,5,7.0,5.0,0
